artist_name,is_explicit,danceability,valence,energy,loudness,acousticness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
1,FALSE,0.665,0.699,0.787,-5.73,0.31,0.219,0.151,5,167.351,1,212147,4
1,FALSE,0.718,0.836,0.523,-7.181,0.352,0.0909,0.198,6,167.963,1,179067,4
1,FALSE,0.621,0.484,0.781,-6.062,0.0321,0.173,0.0636,2,110.002,1,377467,4
1,FALSE,0.371,0.231,0.841,-6.021,0.287,0.135,0.297,0,85.656,1,239467,4
1,FALSE,0.628,0.45,0.666,-6.626,0.158,0.177,0.111,4,72.032,1,222480,4
1,FALSE,0.365,0.268,0.382,-7.344,0.382,0.0661,0.0295,6,148.363,1,273880,3
1,FALSE,0.716,0.786,0.811,-7.503,0.0328,0.0649,0.212,6,118.005,0,223987,4
1,FALSE,0.732,0.759,0.899,-4.237,0.00496,0.372,0.143,0,127.091,1,236093,4
1,FALSE,0.546,0.298,0.649,-4.056,0.143,0.0894,0.0324,6,99.05,1,253747,4
1,FALSE,0.474,0.399,0.797,-4.541,0.193,0.322,0.192,6,149.965,0,199107,4
1,FALSE,0.525,0.235,0.627,-6.59,0.431,0.0927,0.0335,7,111.026,1,239213,3
1,FALSE,0.352,0.0852,0.655,-10.571,6.63E-05,0.659,0.0736,0,148.045,1,71867,4
1,FALSE,0.562,0.268,0.967,-4.919,0.0496,0.953,0.271,9,99.13,0,323733,4
1,FALSE,0.591,0.245,0.79,-7.864,0.0488,0.417,0.0956,6,99.946,0,154027,4
1,FALSE,0.429,0.184,0.967,-5.08,0.000279,0.933,0.309,7,99.027,1,190987,4
1,FALSE,0.556,0.184,0.945,-5.756,0.141,0.347,0.52,3,96.618,1,149627,4
1,FALSE,0.524,0.208,0.691,-7.99,0.0196,0.939,0.0332,1,94.982,1,231933,4
1,FALSE,0.275,0.0784,0.449,-10.563,0.613,0.857,0.0335,0,104.838,1,255440,3
1,FALSE,0.297,0.15,0.596,-7.308,0.537,0.971,0.21,5,169.502,1,192480,4
1,FALSE,0.306,0.157,0.945,-5.32,0.0131,0.892,0.424,6,100.105,1,316773,4
1,FALSE,0.601,0.337,0.939,-7.323,0.00252,0.289,0.309,11,146.248,0,179893,4
1,FALSE,0.509,0.353,0.739,-6.124,0.0577,0.904,0.287,1,135.995,1,123600,4
2,FALSE,0.476,0.603,0.844,-7.971,0.367,0.867,0.659,1,83.132,1,114907,4
1,FALSE,0.426,0.534,0.903,-6.175,0.0547,0.924,0.236,6,129.117,1,217467,4
1,FALSE,0.473,0.217,0.84,-8.271,0.0307,0.475,0.313,1,91.13,1,129613,4
1,FALSE,0.395,0.314,0.592,-10.841,0.00778,0.816,0.0443,10,144.848,1,108627,4
1,FALSE,0.304,0.266,0.921,-8.559,0.0346,0.983,0.79,11,88.515,0,304107,4
1,FALSE,0.399,0.267,0.741,-8.987,0.235,0.413,0.484,2,83.213,1,128640,3
1,FALSE,0.542,0.438,0.878,-8.096,0.0064,0.859,0.297,1,103.293,1,50773,4
1,FALSE,0.565,0.334,0.807,-7.988,0.00102,0.971,0.293,7,84.937,1,135867,4
1,FALSE,0.503,0.448,0.871,-6.659,0.306,0.823,0.404,8,137.164,1,139893,4
1,FALSE,0.143,0.255,0.315,-12.587,0.306,0.916,0.0368,2,75.195,0,179960,3
1,FALSE,0.358,0.171,0.641,-8.823,0.193,0.763,0.0752,9,124.061,1,202160,4
1,FALSE,0.628,0.198,0.894,-5.448,0.018,0.922,0.137,11,97.083,0,262920,4
1,FALSE,0.261,0.217,0.913,-5.795,0.0352,0.863,0.433,1,143.024,1,391893,4
1,FALSE,0.326,0.22,0.975,-5.784,0.000703,0.815,0.233,10,155.075,0,118653,4
2,FALSE,0.712,0.885,0.828,-7.108,0.00323,0.0264,0.0418,1,125.999,1,387080,4
2,FALSE,0.796,0.783,0.92,-5.638,0.00241,0.0243,0.0873,6,128.005,0,413827,4
2,FALSE,0.846,0.622,0.629,-7.355,0.00327,0.0655,0.0658,8,131.997,0,305947,4
2,FALSE,0.802,0.851,0.702,-6.601,0.0147,0.0162,0.0616,11,128.008,0,533293,4
1,FALSE,0.372,0.0813,0.751,-6.694,0.0846,0.122,0.257,0,168.247,1,285640,4
2,FALSE,0.846,0.613,0.683,-6.148,0.0452,0.0583,0.0654,10,122.988,0,387320,4
2,FALSE,0.772,0.774,0.863,-6.35,0.00202,0.331,0.0423,11,126.995,1,401960,4
2,FALSE,0.574,0.341,0.421,-5.443,0.0989,0.0568,0.174,1,78.781,1,283933,4
1,FALSE,0.632,0.427,0.518,-6.126,0.107,0.354,0.0313,6,90.007,1,249147,4
1,FALSE,0.508,0.472,0.72,-5.908,0.272,0.0563,0.0628,11,79.983,0,261640,4
1,FALSE,0.492,0.206,0.348,-10.676,0.128,0.326,0.0301,5,78.412,1,267453,4
1,FALSE,0.336,0.159,0.424,-7.203,0.503,0.273,0.0353,5,82.149,1,277627,4
1,FALSE,0.35,0.201,0.403,-9.57,0.786,0.12,0.0279,0,104.957,1,221653,3
1,FALSE,0.572,0.103,0.429,-8.974,0.192,0.263,0.0271,1,95.068,1,271613,4
1,FALSE,0.384,0.282,0.153,-14.55,0.729,0.116,0.0324,7,109.859,1,186827,4
1,FALSE,0.549,0.102,0.628,-7.45,0.00908,0.128,0.0309,2,115.036,1,221467,4
1,FALSE,0.426,0.272,0.584,-5.293,0.0383,0.188,0.296,1,193.437,1,193213,4
1,FALSE,0.605,0.553,0.763,-5.949,0.129,0.0839,0.0775,1,135.771,1,218787,4
1,FALSE,0.875,0.861,0.551,-6.744,0.0488,0.0537,0.317,6,146.092,0,200613,4
1,FALSE,0.694,0.788,0.825,-5.986,0.0895,0.0618,0.111,1,121.949,1,208067,4
1,FALSE,0.479,0.608,0.763,-8.954,0.00242,0.383,0.178,8,84.769,1,215440,4
1,FALSE,0.33,0.416,0.769,-5.755,0.206,0.143,0.17,6,97.515,1,256533,3
1,FALSE,0.623,0.489,0.389,-7.816,0.155,0.163,0.241,1,79.454,1,236360,4
1,FALSE,0.534,0.205,0.575,-6.706,0.0546,0.131,0.0519,1,86.961,1,222920,4
2,FALSE,0.764,0.418,0.751,-3.74,0.00554,0.164,0.0703,8,91.977,1,199853,4
1,FALSE,0.447,0.509,0.694,-4.637,0.0293,0.167,0.382,7,175.868,0,227853,4
1,FALSE,0.796,0.726,0.572,-7.019,0.0682,0.135,0.0634,10,107.045,0,210240,4
1,FALSE,0.814,0.537,0.384,-7.953,0.0516,0.0968,0.292,1,157.992,1,235680,4
2,FALSE,0.807,0.78,0.784,-4.866,0.0118,0.315,0.236,7,124.821,1,198280,4
2,FALSE,0.593,0.483,0.68,-5.556,0.00182,0.31,0.335,7,84.547,1,273053,4
1,FALSE,0.664,0.625,0.701,-7.718,0.234,0.0646,0.0967,1,151.947,1,248853,4
1,FALSE,0.485,0.196,0.827,-3.707,0.144,0.116,0.177,11,92.161,0,222013,4
1,FALSE,0.925,0.667,0.728,-6.82,0.00408,0.207,0.254,1,96.54,1,379120,4
1,FALSE,0.47,0.298,0.476,-8.825,0.248,0.106,0.0371,8,94.922,1,198280,4
1,FALSE,0.681,0.459,0.715,-5.148,0.0039,0.0569,0.0638,1,98.96,1,201200,4
1,FALSE,0.691,0.573,0.931,-4.037,0.212,0.34,0.265,9,93.852,0,205973,4
3,FALSE,0.644,0.355,0.746,-4.941,0.0071,0.0743,0.341,7,105.253,1,240280,4
1,FALSE,0.458,0.48,0.751,-8.395,0.0299,0.258,0.469,2,169.673,1,203347,4
1,FALSE,0.29,0.48,0.574,-5.387,0.6,0.149,0.112,6,197.431,1,282360,3
1,FALSE,0.432,0.187,0.637,-3.905,0.416,0.113,0.0475,11,122.394,1,219547,4
2,FALSE,0.491,0.596,0.745,-5.631,0.473,0.239,0.254,4,167.875,0,228413,4
1,FALSE,0.548,0.141,0.638,-3.115,0.588,0.101,0.0435,11,122.868,1,221200,4
1,FALSE,0.627,0.615,0.705,-3.539,0.0941,0.178,0.231,10,175.861,1,227667,4
1,FALSE,0.646,0.513,0.806,-4.495,0.0997,0.258,0.135,7,91.962,1,200813,4
2,FALSE,0.763,0.487,0.761,-3.794,0.0063,0.287,0.0544,7,91.977,1,180520,4
1,FALSE,0.694,0.57,0.726,-5.13,0.0034,0.0801,0.042,7,92.015,1,199427,4
2,FALSE,0.511,0.845,0.808,-4.09,0.15,0.232,0.139,10,176.042,1,230747,4
3,FALSE,0.763,0.362,0.728,-4.944,0.00677,0.0915,0.326,7,105.923,1,239960,4
1,FALSE,0.865,0.651,0.829,-6.981,0.0673,0.253,0.315,0,96.511,0,205813,4
1,FALSE,0.682,0.615,0.939,-4.054,0.226,0.346,0.284,9,93.81,0,204813,4
3,FALSE,0.474,0.509,0.683,-5.585,0.00161,0.309,0.397,7,169.51,1,272707,4
1,FALSE,0.456,0.428,0.742,-8.39,0.0534,0.0837,0.481,2,168.507,1,203200,4
1,FALSE,0.81,0.506,0.386,-7.846,0.0529,0.0969,0.311,1,157.919,1,235387,4
1,FALSE,0.683,0.378,0.703,-5.154,0.0043,0.0599,0.0585,1,98.953,1,200533,4
1,FALSE,0.796,0.729,0.568,-7.071,0.0833,0.256,0.0631,10,107.034,0,209107,4
1,FALSE,0.576,0.501,0.697,-4.192,0.0286,0.167,0.326,10,175.906,1,227667,4
1,FALSE,0.378,0.482,0.565,-5.388,0.648,0.13,0.0493,6,102.131,1,280693,3
